price,year,make,model,condition,cylinders,drive,odometer,paint,title_status,transmission,vehicle_type
"$41,991",2018,Toyota,4Runner,like new,6 cylinders,4wd,24025,red,clean,automatic,SUV
"$32,991",2017,Maserati,Ghibli,like new,6 cylinders,rwd,28831,custom,clean,automatic,sedan
"$7,500",2004,Toyota,4Runner,good,6 cylinders,rwd,215000,silver,clean,automatic,SUV
"$143,991",2014,Ferrari,California,like new,8 cylinders,rwd,4442,custom,clean,automatic,convertible
"$55,991",2017,Mercedes-Benz,C-Class,like new,8 cylinders,rwd,24749,white,clean,automatic,coupe
"$12,000",2010,GLS,550,excellent,8 cylinders,4wd,128200,black,clean,automatic,SUV
"$58,991",2017,Mercedes-Benz,GLE,like new,8 cylinders,4wd,40176,black,clean,automatic,wagon
"$38,991",2007,Honda,S2000,like new,4 cylinders,fwd,53009,black,clean,manual,convertible
"$10,700",2012,BMW,328i M-Sport Conv.,excellent,6 cylinders,rwd,99900,grey,clean,automatic,convertible
"$32,991",2009,Mercedes-Benz,CL-Class,like new,8 cylinders,rwd,45909,black,clean,automatic,coupe
"$25,991",2018,Audi,A3 Sedan,like new,4 cylinders,4wd,40493,red,clean,automatic,sedan
"$54,991",2020,Mercedes-Benz,CLS,like new,6 cylinders,rwd,40317,black,clean,automatic,coupe
"$15,991",2015,Hyundai,Sonata,like new,4 cylinders,fwd,51946,custom,clean,automatic,sedan
"$37,000",2014,ford,f-150 raptor,excellent,8 cylinders,4wd,92000,black,clean,automatic,pickup
"$44,991",2017,Land,Rover Range Rover Sport,like new,8 cylinders,4wd,64033,black,clean,automatic,SUV
"$39,991",2020,Ford,Mustang,like new,8 cylinders,rwd,20483,custom,clean,other,coupe
"$33,991",2021,Ford,Explorer,like new,4 cylinders,rwd,30254,red,clean,automatic,wagon
"$66,991",2018,Dodge,Charger,like new,8 cylinders,rwd,34487,white,clean,automatic,sedan
"$6,500",1990,Mazda,miata,good,4 cylinders,rwd,180000,yellow,clean,automatic,convertible
"$42,991",2019,Chevrolet,Camaro,like new,8 cylinders,rwd,37964,white,clean,automatic,coupe
"$23,991",2018,Chrysler,300,like new,6 cylinders,rwd,64769,blue,clean,automatic,sedan
"$36,991",2014,Chevrolet,Silverado 1500,like new,8 cylinders,rwd,58316,grey,clean,automatic,truck
"$5,500",2000,Chevy,"Silverado, LS 1500",good,8 cylinders,rwd,244000,blue,clean,automatic,pickup
"$17,000",2013,2013,toyota sienna le,excellent,6 cylinders,fwd,119000,red,clean,automatic,van
"$25,991",2020,Nissan,Maxima,like new,6 cylinders,fwd,64120,silver,clean,automatic,sedan
"$54,991",2020,Chevrolet,Silverado 1500,like new,8 cylinders,4wd,18677,white,clean,automatic,truck
"$16,500",2006,chevy,silverado 2500hd,excellent,8 cylinders,4wd,145000,white,clean,automatic,pickup
"$21,991",2021,Volkswagen,Jetta,like new,4 cylinders,fwd,39977,red,clean,automatic,sedan
"$10,900",2001,2001,Toyota Tacoma,good,6 cylinders,rwd,170000,red,clean,automatic,truck
"$15,900",2003,Toyota,Tacoma,excellent,4 cylinders,4wd,140000,red,clean,manual,truck
"$27,500",2020,Volkswagen,Passat,like new,4 cylinders,fwd,31584,silver,clean,automatic,sedan
"$68,991",2019,BMW,M5,like new,8 cylinders,4wd,35391,grey,clean,automatic,sedan
"$14,900",2012,ford,f-350 super duty,good,8 cylinders,rwd,161815,white,clean,automatic,truck
"$15,700",2015,honda,civic se,excellent,4 cylinders,fwd,55000,silver,clean,automatic,sedan
"$15,995",2014,toyota,sienna,excellent,6 cylinders,fwd,128360,grey,clean,automatic,mini-van
"$6,995",2014,chevrolet,impala,excellent,6 cylinders,fwd,108200,white,clean,automatic,sedan
"$8,995",2008,lexus,es350,excellent,6 cylinders,fwd,142800,black,clean,automatic,sedan
"$8,995",2011,hyundai,genesis,excellent,4 cylinders,rwd,131350,blue,clean,manual,coupe
"$10,995",2003,nissan,350z,excellent,6 cylinders,rwd,128200,silver,clean,automatic,coupe
"$7,995",2005,nissan,murano,excellent,6 cylinders,4wd,71800,grey,clean,automatic,SUV
"$8,995",2006,chevrolet,colorado,excellent,5 cylinders,rwd,130000,white,clean,automatic,truck
"$31,500",2003,hummer,h2,like new,8 cylinders,4wd,78030,orange,clean,automatic,SUV
"$9,495",2007,toyota,camry,excellent,4 cylinders,fwd,83700,silver,clean,automatic,sedan
"$9,995",2014,chevrolet,volt,excellent,4 cylinders,fwd,100650,white,clean,automatic,hatchback
"$8,995",2009,honda,odyssey,excellent,6 cylinders,fwd,120000,grey,clean,automatic,mini-van
