,date,product,sales_amount,discount
113,2021-07-24,1014,1117.209000594914,0.25097567
114,2021-07-25,1014,909.3420006483793,0.2517567
115,2021-07-26,1014,849.8800005838275,0.2534656
116,2021-07-27,1014,882.3230010718107,0.2420369
117,2021-07-28,1014,1015.9220022708178,0.24337462
118,2021-07-29,1014,3009.2900011092424,0.3676565
119,2021-07-30,1014,3404.4370028302073,0.36883113
120,2021-07-31,1014,3031.8900017738342,0.36883986
121,2021-08-01,1014,2908.498002227396,0.36883113
122,2021-08-02,1014,2920.72900120914,0.36883113
123,2021-08-03,1014,2950.8350012153387,0.3676565
124,2021-08-04,1014,2588.8000020030886,0.36883113
125,2021-08-05,1014,1521.1180004663765,0.36640736
126,2021-08-06,1014,1634.9470008052886,0.36627057
127,2021-08-07,1014,1298.5970006585121,0.36608902
128,2021-08-08,1014,994.4440010637045,0.3671967
129,2021-08-09,1014,892.8710004910827,0.36705193
130,2021-08-10,1014,814.2820003926754,0.3665538
131,2021-08-11,1014,746.7840008847415,0.36642784
132,2021-08-12,1014,519.595000192523,0.0041841003
133,2021-08-13,1014,570.2299999222159,0.004237288
134,2021-08-14,1014,505.8730009123683,0.004201681
135,2021-08-15,1014,480.93400029838085,0.004149378
136,2021-08-16,1014,512.0339996293187,0.0040983604
137,2021-08-17,1014,549.4490000158548,0.0040816325
138,2021-08-18,1014,571.3220000118017,0.0040983604
139,2021-08-19,1014,622.4840002469718,0.0040816325
140,2021-08-20,1014,733.9140007086098,0.0040983604
141,2021-08-21,1014,690.6400000117719,0.004132231
142,2021-08-22,1014,605.6729999855161,0.004166667
143,2021-08-23,1014,633.5810002461076,0.004219409
144,2021-08-24,1014,585.2660005856305,0.004166667
145,2021-08-25,1014,600.3230002559721,0.004219409
146,2021-08-26,1014,186.96900019794703,0.004255319
147,2021-08-27,1014,191.72100028768182,0.004115226
148,2021-08-28,1014,213.9910002835095,0.0040816325
149,2021-08-29,1014,192.32600031793118,0.003968254
150,2021-08-30,1014,154.17000046372414,0.0038610038
151,2021-08-31,1014,186.56899995729327,0.0032467532
152,2021-09-01,1014,443.2079996019602,0.003164557
153,2021-09-02,1014,3405.1900003775954,0.36344242
154,2021-09-03,1014,3559.9410015642643,0.3634379
155,2021-09-04,1014,3188.0320014841855,0.36344242
156,2021-09-05,1014,2907.3220018446445,0.3634379
157,2021-09-06,1014,2671.6930018253624,0.36344242
158,2021-09-07,1014,2747.282000593841,0.36344242
159,2021-09-08,1014,2655.905001666397,0.36230665
160,2021-09-09,1014,2069.076002396643,0.35650057
161,2021-09-10,1014,1994.33500225842,0.3563107
162,2021-09-11,1014,1750.4690014310181,0.35590386
163,2021-09-12,1014,1375.5469998046756,0.35542285
164,2021-09-13,1014,1122.2590002566576,0.35492495
165,2021-09-14,1014,901.8020006455481,0.3556735
166,2021-09-15,1014,943.226000122726,0.35532668
167,2021-09-16,1014,180.31100000813603,0.0042918455
168,2021-09-17,1014,246.96400006860495,0.004255319
169,2021-09-18,1014,255.54000040888786,0.0041841003
170,2021-09-19,1014,231.66400043293834,0.0040983604
171,2021-09-20,1014,195.16299987211823,0.0040983604
172,2021-09-21,1014,219.1030005402863,0.0040816325
173,2021-09-22,1014,180.912999805063,0.004149378
174,2021-09-23,1014,165.86600002646446,0.004166667
175,2021-09-24,1014,206.60199996829033,0.0040983604
176,2021-09-25,1014,202.60000007227063,0.004149378
177,2021-09-26,1014,170.70100060850382,0.004032258
178,2021-09-27,1014,161.7770001217723,0.00390625
179,2021-09-28,1014,170.33900006860495,0.003236246
180,2021-09-29,1014,226.4400000050664,0.0030959751
181,2021-09-30,1014,3192.129002932459,0.36236948
182,2021-10-01,1014,3577.775001768023,0.36347765
183,2021-10-02,1014,3213.840001642704,0.36347765
184,2021-10-03,1014,2992.7560026161373,0.3623847
185,2021-10-04,1014,2788.4550018161535,0.36239228
186,2021-10-05,1014,2841.561002895236,0.36239228
187,2021-10-06,1014,2785.583000615239,0.36237714
188,2021-10-07,1014,1993.590000167489,0.35094762
189,2021-10-08,1014,1786.2640010863543,0.34962073
190,2021-10-09,1014,1418.3780004754663,0.34977064
191,2021-10-10,1014,1030.8560010455549,0.34879214
192,2021-10-11,1014,783.1170005984604,0.3496668
193,2021-10-12,1014,846.5579999610782,0.3469181
194,2021-10-13,1014,990.3970002382994,0.3482499
195,2021-10-14,1014,224.02299962192774,0.004201681
196,2021-10-15,1014,206.72199998050928,0.004201681
197,2021-10-16,1014,206.5319997370243,0.004201681
198,2021-10-17,1014,197.6590003222227,0.004048583
